,sweep,drug,peak_amplitude,baseline,normalized_amplitude,percent_change
0,23,TBOA_baseline,-171.4632011318158,-167.20618418584283,102.5459685996072,4.257016945972964
1,24,TBOA_baseline,-163.23023292896454,-167.20618418584283,97.62212667178675,-3.9759512568782895
2,25,TBOA_baseline,-181.22087918959468,-167.20618418584283,108.38168460813333,14.014695003751854
3,26,TBOA_baseline,-140.03188422336163,-167.20618418584283,83.74802935980043,-27.1742999624812
4,27,TBOA_baseline,-159.19170554027014,-167.20618418584283,95.2068288116276,-8.014478645572694
5,28,TBOA_baseline,-227.04962418709346,-167.20618418584283,135.79020733750917,59.84344000125063
6,29,TBOA_baseline,-133.92177072911437,-167.20618418584283,80.09379041881955,-33.28441345672846
7,30,TBOA_baseline,-164.9097522198595,-167.20618418584283,98.62658670361681,-2.2964319659833166
8,31,TBOA_baseline,-163.83660752251126,-167.20618418584283,97.98477748909907,-3.3695766633315714
9,32,TBOA_baseline,-176.49901575787888,-167.20618418584283,105.55770805803897,9.29283157203605
10,33,DA,-136.2650218859427,-167.20618418584283,81.49520458794139,-30.941162299900128
11,34,DA,-203.9532774199599,-167.20618418584283,121.97711371325488,36.747093234117074
12,35,DA,-221.40526044272144,-167.20618418584283,132.41451655677912,54.19907625687861
13,36,DA,-159.62482069159572,-167.20618418584283,95.46585939320238,-7.581363494247114
14,37,DA,-181.81091139319633,-167.20618418584283,108.73456163028095,14.604727207353505
15,38,DA,-105.29988963231582,-167.20618418584283,62.976073609382354,-61.906294553527005
16,39,DA,-123.67597877063518,-167.20618418584283,73.96615105645519,-43.53020541520765
17,40,DA,-208.0743363869433,-167.20618418584283,124.44177073957815,40.86815220110046
18,41,DA,-159.62860101925955,-167.20618418584283,95.46812027110127,-7.577583166583281
19,42,DA,-207.05322973986972,-167.20618418584283,123.8310836097656,39.84704555402689
20,43,TBOA,-123.25490714107042,-167.20618418584283,73.71432327172639,-43.95127704477241
21,44,TBOA,-160.1994137693845,-167.20618418584283,95.80950282994881,-7.006770416458323
22,45,TBOA,-108.52621529514754,-167.20618418584283,64.90562285335398,-58.67996889069529
23,46,TBOA,-77.86999937468735,-167.20618418584283,46.571243613895305,-89.33618481115548
24,47,TBOA,-85.84853145322674,-167.20618418584283,51.34291645445938,-81.35765273261609
25,48,TBOA,-159.75290020009984,-167.20618418584283,95.54245913688278,-7.453283985742985
26,49,TBOA,-130.2327898324159,-167.20618418584283,77.88754373323148,-36.973394353426926
27,50,TBOA,-136.69224909329716,-167.20618418584283,81.75071380216974,-30.513935092545665
28,51,TBOA,-141.86295116308153,-167.20618418584283,84.84312458527651,-25.343233022761297
29,52,TBOA,-174.3799748311657,-167.20618418584283,104.29038595686717,7.1737906453228675
30,53,TBOA,-150.09135286393177,-167.20618418584283,89.76423545262618,-17.114831321911055
31,54,TBOA,-174.09149903076516,-167.20618418584283,104.1178589646359,6.885314844922334
32,55,TBOA,-169.93599893696867,-167.20618418584283,101.63260394011012,2.7298147511258435
33,56,TBOA,-139.1454308404202,-167.20618418584283,83.2178735002802,-28.060753345422626
34,57,TBOA,-79.73769869309658,-167.20618418584283,47.68824734644467,-87.46848549274625
35,58,ACSF,-120.42747295522771,-167.20618418584283,72.0233366616258,-46.778711230615116
36,59,ACSF,-125.22761927838918,-167.20618418584283,74.89413139121925,-41.978564907453645
37,60,ACSF,-146.52021448224087,-167.20618418584283,87.6284661333995,-20.685969703601955
38,61,ACSF,-100.47814860555283,-167.20618418584283,60.092363864888796,-66.72803558029
39,62,ACSF,-113.05474674837396,-167.20618418584283,67.6139745063007,-54.15143743746887
40,63,ACSF,-95.81867730740385,-167.20618418584283,57.30570180401061,-71.38750687843898
41,64,ACSF,-112.32343734367187,-167.20618418584283,67.17660467559558,-54.88274684217096
42,65,ACSF,-121.5226807153576,-167.20618418584283,72.67834099981022,-45.683503470485235
43,66,ACSF,-64.57600878564243,-167.20618418584283,38.620586373688695,-102.6301754002004
44,67,ACSF,-113.21131253126572,-167.20618418584283,67.70761086529909,-53.99487165457711
45,68,ACSF,-155.2604825850425,-167.20618418584283,92.85570587058959,-11.945701600800334
46,69,ACSF,-127.85232084792379,-167.20618418584283,76.4638709210786,-39.35386333791904
47,70,ACSF,-112.83749499749845,-167.20618418584283,67.48404405430615,-54.368689188344376
48,71,ACSF,-94.1484917458727,-167.20618418584283,56.30682393973569,-73.05769243997013
49,72,ACSF,-100.72477316783365,-167.20618418584283,60.23986113807979,-66.48141101800918
50,73,ACSF,-159.01178870685337,-167.20618418584283,95.0992270298557,-8.194395478989463
51,74,ACSF,-74.8639865245121,-167.20618418584283,44.773455532783316,-92.34219766133073
52,75,ACSF,-135.32283376063015,-167.20618418584283,80.93171578523936,-31.883350425212683
53,76,ACSF,-161.30360398949486,-167.20618418584283,96.46987925411449,-5.902580196347969
54,77,ACSF,-124.36220860430181,-167.20618418584283,74.3765604184103,-42.84397558154102
